
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2025-10-19 19:28:24 ............................................................................................................................................................................................................ ~ -1s
  2025-10-19 19:28:24 ............................................................................................................................................................................................................ ~ -2s
  2025-10-19 19:28:25 ............................................................................................................................................................................................................ ~ -1s
  2025-10-19 19:29:24 ............................................................................................................................................................................................................ ~ -1s
  2025-10-19 19:29:25 ............................................................................................................................................................................................................. ~ 0s
  2025-10-19 19:29:25 ............................................................................................................................................................................................................ ~ -1s
  2025-10-19 19:30:24 ............................................................................................................................................................................................................ ~ -1s
  2025-10-19 19:30:25 ............................................................................................................................................................................................................ ~ -1s
  2025-10-19 19:30:25 ............................................................................................................................................................................................................ ~ -2s
